<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBE.MC,D,20070319,000000,8.44,8.58,8.38,8.57,41941800,0
IBE.MC,D,20070320,000000,8.60,8.73,8.53,8.65,56891600,0
IBE.MC,D,20070321,000000,8.68,8.68,8.60,8.65,32695600,0
IBE.MC,D,20070322,000000,8.71,8.74,8.63,8.70,34650300,0
IBE.MC,D,20070323,000000,8.88,8.90,8.74,8.87,60952000,0
IBE.MC,D,20070326,000000,8.90,8.93,8.79,8.84,44242200,0
IBE.MC,D,20070327,000000,8.93,8.93,8.86,8.91,24268100,0
IBE.MC,D,20070328,000000,8.92,8.95,8.87,8.90,23062600,0
IBE.MC,D,20070329,000000,8.91,8.94,8.89,8.92,23968600,0
IBE.MC,D,20070330,000000,8.89,8.93,8.79,8.85,49906200,0
IBE.MC,D,20070402,000000,8.85,9.05,8.82,9.03,27882300,0
IBE.MC,D,20070403,000000,9.12,9.29,9.10,9.25,37537200,0
IBE.MC,D,20070404,000000,9.34,9.37,9.15,9.24,32577400,0
IBE.MC,D,20070405,000000,9.25,9.29,9.19,9.29,20483500,0
IBE.MC,D,20070406,000000,9.29,9.29,9.29,9.29,000,0
IBE.MC,D,20070409,000000,9.29,9.29,9.29,9.29,000,0
IBE.MC,D,20070410,000000,9.32,9.32,9.14,9.22,22201500,0
IBE.MC,D,20070411,000000,9.22,9.23,9.02,9.08,36517400,0
IBE.MC,D,20070412,000000,9.08,9.10,8.96,9.01,30399300,0
IBE.MC,D,20070413,000000,8.98,9.12,8.98,9.03,19749000,0
IBE.MC,D,20070416,000000,9.09,9.10,8.98,8.99,47620900,0
IBE.MC,D,20070417,000000,8.98,9.09,8.90,9.02,46579500,0
IBE.MC,D,20070418,000000,8.98,9.04,8.93,9.00,38534100,0
IBE.MC,D,20070419,000000,8.91,9.17,8.87,9.15,76595100,0
IBE.MC,D,20070420,000000,9.15,9.72,9.12,9.61,127265600,0
IBE.MC,D,20070423,000000,9.60,9.67,9.24,9.34,48622500,0
IBE.MC,D,20070424,000000,9.37,9.53,9.20,9.27,152208200,0
IBE.MC,D,20070425,000000,9.25,9.29,9.14,9.18,62841400,0
IBE.MC,D,20070426,000000,9.30,9.30,9.15,9.20,136628900,0
IBE.MC,D,20070427,000000,9.24,9.24,9.10,9.14,62119900,0
IBE.MC,D,20070430,000000,9.25,9.27,9.09,9.12,63802400,0
IBE.MC,D,20070501,000000,9.12,9.12,9.12,9.12,000,0
IBE.MC,D,20070502,000000,9.15,9.20,9.07,9.12,94375900,0
IBE.MC,D,20070503,000000,9.16,9.18,8.98,9.18,56991200,0
IBE.MC,D,20070504,000000,9.20,9.29,9.15,9.26,49907800,0
IBE.MC,D,20070507,000000,9.30,9.48,9.27,9.48,37188600,0
IBE.MC,D,20070508,000000,9.61,9.61,9.35,9.38,101080100,0
IBE.MC,D,20070509,000000,9.41,9.44,9.24,9.34,30374800,0
IBE.MC,D,20070510,000000,9.40,9.60,9.29,9.46,76782400,0
IBE.MC,D,20070511,000000,9.34,9.62,9.34,9.62,70967600,0
IBE.MC,D,20070514,000000,9.74,9.74,9.64,9.72,44917000,0
IBE.MC,D,20070515,000000,9.69,9.84,9.63,9.77,53449400,0
IBE.MC,D,20070516,000000,9.79,10.05,9.76,10.04,85990700,0
IBE.MC,D,20070517,000000,10.10,10.28,10.06,10.28,73310800,0
IBE.MC,D,20070518,000000,10.43,10.46,10.15,10.22,83982100,0
IBE.MC,D,20070521,000000,10.21,10.27,10.09,10.27,34388600,0
IBE.MC,D,20070522,000000,10.24,10.35,10.17,10.34,46405600,0
IBE.MC,D,20070523,000000,10.35,10.48,10.32,10.45,47467700,0
IBE.MC,D,20070524,000000,10.38,10.44,10.32,10.37,54220000,0
IBE.MC,D,20070525,000000,10.32,10.43,10.29,10.37,35274100,0
IBE.MC,D,20070528,000000,10.37,10.41,10.36,10.38,7037500,0
IBE.MC,D,20070529,000000,10.38,10.44,10.37,10.40,21090400,0
IBE.MC,D,20070530,000000,10.31,10.57,10.31,10.52,32542700,0
IBE.MC,D,20070531,000000,10.85,10.96,10.63,10.73,150342700,0
IBE.MC,D,20070601,000000,10.73,10.73,10.73,10.73,000,0
IBE.MC,D,20070604,000000,11.31,11.42,11.14,11.29,37824100,0
IBE.MC,D,20070605,000000,11.27,11.40,11.07,11.09,30154300,0
IBE.MC,D,20070606,000000,10.98,11.02,10.63,10.63,48435400,0
IBE.MC,D,20070607,000000,10.68,10.85,10.50,10.55,69882200,0
IBE.MC,D,20070608,000000,10.50,10.80,10.44,10.71,47137600,0
IBE.MC,D,20070611,000000,10.82,10.92,10.73,10.91,47495600,0
IBE.MC,D,20070612,000000,10.93,10.99,10.81,10.85,127659300,0
IBE.MC,D,20070613,000000,10.78,10.98,10.71,10.98,56940500,0
IBE.MC,D,20070614,000000,11.07,11.17,10.99,11.14,27706300,0
IBE.MC,D,20070615,000000,11.18,11.39,11.09,11.30,115498400,0
IBE.MC,D,20070618,000000,11.25,11.34,11.10,11.18,85037800,0
IBE.MC,D,20070619,000000,11.23,11.26,10.97,11.08,75608000,0
IBE.MC,D,20070620,000000,11.07,11.19,10.93,10.98,57723800,0
IBE.MC,D,20070621,000000,10.88,10.92,10.70,10.72,51021200,0
